CODIGO_DA_IES;NOME_DA_IES;SIGLA;CATEGORIA_DA_IES;COMUNITARIA;CONFESSIONAL;FILANTROPICA;ORGANIZACAO_ACADEMICA;CODIGO_MUNICIPIO_IBGE;MUNICIPIO;UF;SITUACAO_IES
25313;Faculdade Fraga de Integração da Cultura Educação e Pesquisa - FICEPE;FICEPE;Privada;N;N;N;Faculdade;5205497.0;Cidade Ocidental;GO;Ativa
19542;FACULDADES JOÃO PAULO II - Campus Porto Alegre - FJP;FJP;Privada;N;N;N;Faculdade;4314902.0;Porto Alegre;RS;Ativa
23820;FACULDADE DESCOMPLICA;;Privada;N;N;N;Faculdade;3304557.0;Rio de Janeiro;RJ;Ativa
14135;Faculdade Presidente Antônio Carlos de São Gotardo - FUNEC São Gotardo;FUNEC São Gotardo;Privada;N;N;N;Faculdade;3162104.0;São Gotardo;MG;Extinta
19297;FACULDADE PIO DECIMO DE CANINDE DO SAO FRANCISCO - FAPIDE;FAPIDE;Privada;N;N;N;Faculdade;2801207.0;Canindé de São Francisco;SE;Ativa
5305;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS E HUMANAS DE GARANHUNS - FAHUG;FAHUG;Pública;N;N;N;Faculdade;2606002.0;Garanhuns;PE;Extinta
4858;ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE - ESSA;ESSA;Pública;N;N;N;Faculdade;2601201.0;Arcoverde;PE;Ativa
21850;Instituto Internacional de Estudos em Saude - IIESAU;IIESAU;Privada;N;N;N;Faculdade;3543402.0;Ribeirão Preto;SP;Ativa
17690;FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE;;Privada;N;N;N;Faculdade;3509502.0;Campinas;SP;Ativa
24214;Faculdade dos Gênios - FAGENIUS;FAGENIUS;Privada;N;N;N;Faculdade;3131307.0;Ipatinga;MG;Ativa
20074;Instituto Brasileiro de Coaching - IBC;IBC;Privada;N;N;N;Faculdade;5208707.0;Goiânia;GO;Ativa
24245;FACULDADE QUALITTAS - EAD;;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
15351;Faculdade CESURG Marau;;Privada;N;N;N;Faculdade;4311809.0;Marau;RS;Ativa
699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA - UNIR;UNIR;Pública;N;N;N;Universidade;1100205.0;Porto Velho;RO;Ativa
3613;FACULDADES INTEGRADAS IESGO - IESGO;IESGO;Privada;N;N;N;Faculdade;5208004.0;Formosa;GO;Ativa
22175;Faculdade  São Joaquim da Barra;;Privada;N;N;N;Faculdade;3549409.0;São Joaquim da Barra;SP;Ativa
3154;FACULDADE DE TECNOLOGIA SENAI RIO DO SUL - SENAI RIO DO SUL;SENAI RIO DO SUL;Privada;N;N;N;Faculdade;4214805.0;Rio do Sul;SC;Extinta
4175;INSTITUTO UNIFICADO EUROPEU DO BRASIL IUNE-BRASIL - IUNEBRASIL;IUNEBRASIL;Privada;N;N;N;Faculdade;2604106.0;Caruaru;PE;Extinta
23381;FACULDADE DE GOVERNANÇA, ENGENHARIA E EDUCAÇÃO DE SÃO PAULO - FGE-SP;FGE-SP;Privada;N;N;N;Faculdade;3504503.0;Avaré;SP;Ativa
13903;FACULDADE DE CIÊNCIAS GERENCIAIS DE SANTOS DUMONT - FACIG;FACIG;Privada;N;N;N;Faculdade;3160702.0;Santos Dumont;MG;Extinta
22950;Faculdade do Estado do Rio de Janeiro - FAERJ;FAERJ;Privada;N;N;N;Faculdade;3301009.0;Campos dos Goytacazes;RJ;Ativa
1383;FACULDADE NOVO HORIZONTE DE IPOJUCA - FNH;FNH;Privada;N;N;N;Faculdade;2607208.0;Ipojuca;PE;Ativa
17926;Faculdade de Ensino Superior Paschoal Dantas;;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
20643;FACULDADE UNIRB - TERESINA - F. UNIRB;F. UNIRB;Privada;N;N;N;Faculdade;2211001.0;Teresina;PI;Ativa
15173;FACULDADE EVANGÉLICA DE JARAGUÁ - FEJA;FEJA;Privada;N;N;N;Faculdade;5211800.0;Jaraguá;GO;Ativa
22098;FACULDADE ISMD - ISMD;ISMD;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
2420;FACULDADE PARANAENSE - FAPAR;FAPAR;Privada;N;N;N;Faculdade;4106902.0;Curitiba;PR;Ativa
1586;UNIVERSIDADE DO VALE DO SAPUCAÍ - UNIVÁS;UNIVÁS;Privada;N;N;N;Universidade;3152501.0;Pouso Alegre;MG;Ativa
2129;ESCOLA DE ECONOMIA DE SÃO PAULO - EESP;EESP;Privada;N;N;N;Faculdade;3550308.0;São Paulo;SP;Ativa
5374;FACULDADE BRASILEIRA DE ESTUDOS AVANÇADOS -FABEA - FABEA;FABEA;Privada;N;N;N;Faculdade;2111300.0;São Luís;MA;Extinta
